id;artist;date;language  ;text;ad category;topic;place;adress;LATITUDE;LONGITUDE
DG2004/540;Ache Caran d' (Künstler_in);um 1890;3;Nouveau Cirque, 251, Rue St.Honoré, tous les Sours à 8 H1/2 Pierrot Soldat Pantomine a grand spectacle Matinèes à 2h1/2 Mecredis, Jeudis, Dmanches & Fetes Balcon 2F, Fauteuil 3F, Loge (la Place) 5F;entertainment;Circus;Paris;251 Rue St Honoré;48,866992;2,327026
DG2004/2614;Keuller Vital (Künstler_in);um 1890;3;Societe Provinciale d'Agriculture dans les locaux des nouveaux abattoirs et Marchés d'Anderlecht Rue d'Allemagne prologée. Grandes Courses Internationales. Le Jeudi 4 Septembre, à 2 heures, 2000 Fr.s de Prix. 120 Engagements Prx d'Entrèe 1 fr.  Brux.;entertainment;bicycle race;Anderlecht;;50,836581;4,308187
DG2004/2660;Anonym (Künstler_in);um 1890;3;"GRANDE ÉPICERIE PARISIENNE L. HERLIN; 105, Boul.D Anspach, BRUXELLES contre mandat poste de 8F50 L'On recoit franco de port care restante 2K1/2 de ce cafe envoi d'echantillons et du catalogue sor demande; soule maison expediant Franco de Port & d'Emballage toute commande se montant a 30Frs socre sel eceptés. Non!! mais goutez-moi ca! Le Café Herliin son Mélange recommandé à 1F70CS Le 1/2 Kilo, usine à vapèur pour la torrèfaction des cafés, 1, Rue d'artois ";food;coffee roasters;Brussels; 1 Rue d'artois;50,843438;4,34375
DG2004/2664;Anonym (Künstler_in);um 1890;3;BRUXELLES - PLURAL;politics;caricature;Brussels;;50,846647;4,352233
DG2004/2668;Anonym (Künstler_in);um 1890;7;Het Schoonste MEISJE VAN Brussel;entertainment;sheet music;Brussels;;50,846647;4,352233
DG2004/652/2;Guillaume Albert (Künstler_in);um 1890;3;3.50 les 25 Kilos, 158. Rue Lafayette, Charbons de Bois;household;brown coal;Brussels;158 Rue Lafayette ;50,85034;4,35171
DG2004/654;Guillaume Albert (Künstler_in);um 1890;3;"Appuis bras mobilespour balcons et fenètres depuis 6 Fr; Brevetés S.G.D.G. France et étranger, cet appui bras se place et se retre instantanément; seule maison en belgique: J. Stemans, 38, Rue d'Ophem, Bruxelles";household;Armstützen für Balkone und Fensterbänke;Brussels;38 Rue d'Ophem;50,854063;4,344896
DG2004/1185;Anonym (Künstler_in);um 1890;3;"Cirque Rancy, Boulevard Jamar gare du midi; Samedi 1 Juillet Début de la Troupe; Agent: Ducros, 20, Place Morand, Lyon. Affiches Camis 58 R. S'Sabin Paris";entertainment;circus;Lyon;20 Place Morand;45,764043;4,835659
DG2004/1201;Anonym (Künstler_in);um 1890;3;"Gaufrettes Normandes à tous le Parfums & Eruits le plus apprécié des desserts en vente partout; Usine à Trouville <Calvados> Seul concessionnaires: 118, Boulevard Léopold II, Bruxelles";food;wafers;Brussels;118 Boulevard Léopold II;50,860504;4,33899
DG2003/2844;Anonym (Künstler_in);um 1890;2;"Established 1840; CUNARD LINE; United States & Royal Mail Steamers. Sailing between LIVERPOOL, NEW YORK & BOSTON.";travel;ship;Liverpool;;53,407004;-2,977281
DG2003/2845;Anonym (Künstler_in);um 1890;2;"VIRGINIA BRIGHTS CIGARETTES; ALLEN & GINTER MANUFACTURERS, RICHMOND, VA.";luxury;cigarettes;Richmond, VA;;37,540725;-77,436048
DG2004/1159;Anonym (Künstler_in);um 1890;3;"Sciences a la Prtée de Tous; PHYSIQUE & CHIMIE Populaires; Par ALEXIS CLERC; 10c la livraison illustrée, la 1re =& la 2me= livraisons sous couverture coloriée; sont données Gratuitement a tout le monde; chez les libraries & merchands de journaux; JULES ROUFF & CIE. Éditeurs, PARIS";entertainment;magazines;Paris;14 Cloitre St. Honoré;48,875786;2,303686
DG2004/1160;Anonym (Künstler_in);um 1890;3;"LE Roi des Thugs OU LES ETRANGLEURS DE l'Inde, PAR HENRI TESSIER; L. BOULANGER; Éditeur, PARIS";entertainment;book;Paris;83, Rue de Rennes;48,850164;2,33011
